Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
"Bahamas, The",BHS,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,81300000,85900000,135300000,212900000,238900000,298700000,310700000,326500000,407800000,425200000,508100000,,877900000,811370000,790590000,812400000,659620000,787950000,872290000,999170000,1780500000,2129300000,2126600000,2261100000,2112900000,2033600000,2043900000,1993600000,2571600000,3288500000,3119700000,2977400000,2672600000,2694900000,2856600000,3249300000,2965600000,3371300000,2792100000,2944100000,3275100000,3152000000,3260500000,2292100000,2632200000,2707200000,2789800000,
Bosnia and Herzegovina,BIH,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229000000,948237971.823498,1256401062.01876,1340696369.99707,1119863546.85572,1699723768.87783,1648132783.69005,1905153957.56844,2307826215.91615,2670507892.22916,3216867952.50527,2924278481.04513,4229383493.24669,5498759582.86274,4175621195.10672,3565784362.85331,4097429948.88897,3766886303.46667,3821914787.74326,4248766050.56815,3424401244.80293,3503845681.81574,3968100265.47913,4592600476.16605,4652968829.23909,4472314018.29968,5079189359.49676,5421751215.2253,,
Belarus,BLR,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000000,5566666666.66667,4973109243.69748,3450402761.79517,3110615384.61538,3565292758.08937,3947604595.70778,3195631768.95307,3209865852.29808,2800719424.46043,3208651419.38222,4233231120.23283,5858831807.28246,8010697272.7526,10963181258.6265,14205854394.9899,20232727953.5667,18079017561.4472,22221479867.4505,23275700906.3991,21949669541.4363,28086317081.548,26185189894.465,16176702358.8486,12140857062.5811,14315271313.2561,15744441521.6273,17412896079.5647,15567055737.1673,15726313923.6019,14347587677.5446,15702163033.9003,
Belize,BLZ,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,42642151.0925715,46212387.3284552,39060792.6254235,34563059.0171404,41459809.5516348,35176232.4625014,38451487.7822414,57436169.400087,78124970.2777535,96112036.1087065,120865611.393239,144788599.804345,160380974.544814,188366397.528556,141636723.516856,159714516.911828,154577330.38037,154807257.058204,153629945.014158,213801502.285667,282957898.702692,260073626.514348,249994744.611553,222308142.31398,221414443.748587,244523807.143371,267162622.668845,300752740.304277,384020562.676406,279951956.375469,238066561.041231,254178007.650465,247880797.642805,295058522.467058,352068782.43536,358137588.602585,403314487.086427,349204994.749605,379903934.477755,400332000.210301,352636599.611072,486012071.228271,588640648.65228,674000000,
Bermuda,BMU,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865343000,794297000,702521000,704322000,775746000,791397000,883410000,983043000,968986000,1094851000,842869000,940628000,945178000,,
Bolivia,BOL,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,149333333.333333,162583333.333333,201769230.769231,225950000,327500000,452750000,534250000,620700000,819450000,871000000,752979610.496712,934582122.12282,839330602.611758,678358001.071767,936308970.010874,777747604.413618,529828343.091727,525473379.218537,583952252.576543,565507342.432225,611294834.160717,773919401.397751,920829366.978788,955652305.007898,888299945.655432,1043101470.68688,1196557766.38687,1503429161.64376,1967443290.38882,1582225490.70884,1502164633.15039,1133850599.30373,1237180516.03905,1023548840.23289,1025363923.89113,1240511937.54772,1637233582.18447,2117532123.88608,2876098752.73561,2857502535.61254,3256400424.87409,4544764105.67046,4973493024.60203,5843695079.59479,6923276541.24457,7052492040.52098,7015795123.01013,7977471302.4602,8124443039.07381,7759993820.54993,5704050072.3589,6719662112.87988,7411898813.31404,8037393072.928,
Brazil,BRA,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114497000000,79546496970,62029545454.5455,60463645673.3231,71018180630.6659,109004101196.96,156069192419.472,158525047059.994,168894644487.158,160152259036.274,102036851140.588,119976443173.613,103138270248.277,91387179470.4973,92693368979.4393,115922489991.005,152078703535.588,190625845953.275,251421388628.382,328747096714.032,318428960182.612,453577622444.403,539162699833.635,510714163042.883,517114089307.074,488090279827.213,321439091840.342,278769334001.277,300426867329.555,289397822829.501,289819598014.537,244458436865.141,299344079147.991,347450316094.013,359497143729.552,
Barbados,BRB,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,74989851.9875254,115451142.828626,117277257.325095,125429324.317606,148660070.601104,196539551.533834,257495152.389002,225923532.043952,206383930.791031,188783373.937255,181126634.51499,212399940.337095,228658081.837617,265947397.205787,320787550.340576,301944016.307861,255655546.164172,162000000,190871575.597872,226818475.612788,258539253.219311,297419579.376523,382936409.287526,528464177.397703,561378213.096008,550300000,499650000,548400000,589100000,658000000,717750000,892046200,881149200,868633700,748388750,710817550,784834250,736175400,763288050,766977400,788416250,782342800,768658200,717492200,762213800,839736200,840771600,963490400,,
Brunei Darussalam,BRN,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554798390.777015,657643198.772105,763509015.658013,973009275.203242,1217360413.56834,1171237701.67679,1735602786.84187,2113413723.43074,1844685433.65261,1369501231.47558,983505776.252731,777625795.913253,819753611.467844,1238558507.03791,982546150.433106,1057358593.04189,1082244620.7245,1200428211.8881,1591464943.97858,1967940263.92091,1883444511.74197,3225501261.81785,4800808958.96616,6241362007.7995,7139740050.48091,4663625457.75982,4529020423.86744,3918097624.99937,4194838332.64175,5547710722.43775,5186602151.1209,4847657213.18284,4353834218.75314,4283490481.20462,4441789245.61456,
Bhutan,BTN,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,42265639.6553709,47973493.8626368,52299005.4501619,64075317.9208266,61396391.9999528,74326435.573522,81700368.2468874,90160675.8477028,108356039.83967,96976980.6785615,67765264.4513834,82616745.5346576,97991294.3407118,97006948.2822648,110899659.339329,122929124.940863,114558978.390109,115102188.769146,124198469.850421,159861753.087207,241211808.212439,308770341.748343,379990469.730207,433633410.640669,506908314.423695,530952533.300651,455172404.980768,505129651.267688,595836486.331946,662672690.387957,1083408609.73706,1342511852.28981,1368403319.77131,1235023195.47173,1145104344.78625,1229231085.23693,1343443891.45069,1407508061.53715,1385411899.72778,1254206793.67226,949702882.307933,1221438816.03207,1600350290.41788,,
Botswana,BWA,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,10679375.8218931,11924968.9323178,13178997.2805244,13807569.8955925,18940000.5849118,33221014.664705,58601097.0686819,76019502.3989814,103657324.301195,100739245.036992,94522304.0183473,92747523.1868808,115207373.271889,170076446.857299,258034593.567908,366174531.184663,384170433.2778,326515231.712185,319210229.313554,326716590.68696,254498264.712885,311444998.360956,540995782.460491,792223289.226441,969484129.623214,1226493792.41545,1232985268.28578,1225301875.8369,1120998937.30074,1102380389.21347,1276203400.39543,1115637851.78797,1313971901.21627,1346725415.77139,1463196807.36615,1455329491.552,1422824077.2444,1494186281.72355,2104433806.74357,2493917875.94025,2513432466.23801,2009773407.88639,2596158874.69864,2724101482.70258,2867075901.49853,3382352852.85838,4563156300.75781,4376099377.98777,3937537594.17296,3934884681.88184,3667277513.89279,3698137794.16829,3894094052.65101,4495321361.08177,4825368489.58805,4133640184.97514,4948933270.96745,4961029955.35221,4976536843.75619,
Central African Republic,CAF,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,59019937.2079141,55394089.0345148,78506342.3071326,55376861.7129092,55937573.0420137,47777547.3128322,69016915.220437,77353216.531545,107240088.696116,144375245.765374,154393860.404911,124573516.419113,129096954.935332,170187266.375408,167720103.586687,171350226.295827,126083044.32769,101587757.463781,145601981.723969,67481841.4996093,73505655.8698441,79804828.114976,129551919.111137,101508293.816306,95510950.769748,95871027.6977319,73162938.9919037,86674954.633274,131980836.878637,149609812.880063,181662922.460469,253728676.226736,267141732.917664,345737639.132121,327016338.080527,270330597.678331,107410488.735258,400864935.007648,348878414.784005,381020689.45128,502296752.771754,364195716.232293,319603726.069576,425761306.166574,395670555.285332,355779044.629239,372970146.859655,
Canada,CAN,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,9177082991.39416,9191900989.54029,9722690801.90392,11329416796.5943,13237685299.9929,15411434154.7074,15881961721.4379,16234252102.4751,17828237845.266,19280313905.6369,22640126757.7738,25452065865.2389,30188981101.8898,38034764826.1759,42463625639.009,49696754563.8945,49821344616.8312,50703953712.6326,57222127368.9602,65876667807.0476,76872132788.3894,71011591148.5775,71871957156.7673,71913365763.2615,75824240205.0531,79730118747.751,94683257918.552,115266108718.615,130239864864.865,129376071306.136,124120624945.448,115223794159.014,108031935508.875,112475834797.891,111177499271.349,118596993032.637,132963310703.452,130318166498.146,136973817055.933,145970641707.629,148917871900.826,151939081118.97,179219184926.129,214317448116.833,256176761841.888,301916431593.794,342807932222.326,364471415182.755,306637214591.899,379448759977.931,421619974885.965,447843495449.785,446640434761.011,440410285521.471,371236410475.862,347960714854.659,374322815203.045,391237204545.595,393732750480.922,383857863956.945,485358649615.237,503411007138.827,489439047972.487,
Central Europe and the Baltics,CEB,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84846779206.4073,96759618511.6262,100409669574.346,112646652531.752,108075308752.474,104788702784.894,110309965981.273,119795613790.355,144462793304.668,174917194888.22,208411738748.911,247360086999.363,343055957578.182,419322051675.287,304217963869.338,288587558545.993,326722379107.035,296685669521.985,302106404366.877,318166438500.904,288616707259.51,270502776839.595,300120493296.739,352128944020.821,370144162429.41,362351619605.302,404403576732.835,414958889542.062,501150781899.384,
